lat,long,Stability_Class,EPR,NSM,LRR,SCE,ML_Stability_Predicted,Prediction_Confidence
21.8461620028,90.2549463249,Active Erosion,-14.58,-438.67,-17.61,570.41,Active Erosion,1.0
21.8458011539,90.2538583922,Active Erosion,-14.58,-438.67,-17.61,570.41,Active Erosion,1.0
21.8470223664,90.2577951474,Active Erosion,-14.16,-425.9,-17.18,566.86,Active Erosion,1.0
21.847401951,90.2590958452,Active Erosion,-14.16,-425.9,-17.18,566.86,Active Erosion,1.0
21.8461987483,90.2549730491,Active Erosion,-14.16,-425.9,-17.18,566.86,Active Erosion,1.0
21.8458753834,90.253865103,Active Erosion,-14.16,-425.9,-17.18,566.86,Active Erosion,1.0
21.8467998945,90.2576680206,Active Erosion,-13.87,-417.22,-17.16,578.06,Active Erosion,1.0
21.847231241,90.2591527487,Active Erosion,-13.87,-417.22,-17.16,578.06,Active Erosion,1.0
21.8459681862,90.2548053674,Active Erosion,-13.87,-417.22,-17.16,578.06,Active Erosion,1.0
21.8456808872,90.2538165603,Active Erosion,-13.87,-417.22,-17.16,578.06,Active Erosion,1.0
21.8466015806,90.2575546987,Active Erosion,-13.62,-409.68,-17.13,588.24,Active Erosion,1.0
21.847068728,90.2592069196,Active Erosion,-13.62,-409.68,-17.13,588.24,Active Erosion,1.0
21.8457869177,90.2546735361,Active Erosion,-13.62,-409.68,-17.13,588.24,Active Erosion,1.0
21.8455297247,90.2537639818,Active Erosion,-13.62,-409.68,-17.13,588.24,Active Erosion,1.0
21.8465817664,90.2575433764,Active Erosion,-13.12,-394.61,-16.51,575.29,Active Erosion,1.0
21.8469677149,90.2592405906,Active Erosion,-13.12,-394.61,-16.51,575.29,Active Erosion,1.0
21.845957299,90.2547974494,Active Erosion,-13.12,-394.61,-16.51,575.29,Active Erosion,1.0
21.8457387983,90.2538367034,Active Erosion,-13.12,-394.61,-16.51,575.29,Active Erosion,1.0
21.8467373174,90.2576322623,Active Erosion,-12.21,-367.43,-15.25,536.33,Active Erosion,1.0
21.8469355668,90.2592513066,Active Erosion,-12.21,-367.43,-15.25,536.33,Active Erosion,1.0
21.8464324935,90.2551431209,Active Erosion,-12.21,-367.43,-15.25,536.33,Active Erosion,1.0
21.846305984,90.2541101578,Active Erosion,-12.21,-367.43,-15.25,536.33,Active Erosion,1.0
21.8469266283,90.2577404398,Active Erosion,-10.93,-328.88,-13.69,485.07,Active Erosion,1.0
21.8469291734,90.259250527,Active Erosion,-10.93,-328.88,-13.69,485.07,Active Erosion,1.0
21.8469228343,90.2555044232,Active Erosion,-10.93,-328.88,-13.69,485.07,Active Erosion,1.0
21.8469212243,90.2545608658,Active Erosion,-10.93,-328.88,-13.69,485.07,Active Erosion,1.0
21.8469766332,90.2577690141,Active Erosion,-10.22,-307.58,-12.89,460.5,Active Erosion,1.0
21.8468630733,90.2592424659,Active Erosion,-10.22,-307.58,-12.89,460.5,Active Erosion,1.0
21.8471388747,90.2556636111,Active Erosion,-10.22,-307.58,-12.89,460.5,Active Erosion,1.0
21.8472049991,90.2548054123,Active Erosion,-10.22,-307.58,-12.89,460.5,Active Erosion,1.0
21.8468853256,90.2577168383,Active Erosion,-10.11,-304.25,-12.81,461.31,Active Erosion,1.0
21.846725197,90.2592256516,Active Erosion,-10.11,-304.25,-12.81,461.31,Active Erosion,1.0
21.8471057956,90.2556392369,Active Erosion,-10.11,-304.25,-12.81,461.31,Active Erosion,1.0
21.8471954595,90.2547942136,Active Erosion,-10.11,-304.25,-12.81,461.31,Active Erosion,1.0
